effective_start,effective_end,region,rate_type,rate
2024-04-01,2025-03-31,NZ,ADULT,23.15
2023-04-01,2024-03-31,NZ,ADULT,22.70
2022-04-01,2023-03-31,NZ,ADULT,21.20
2021-04-01,2022-03-31,NZ,ADULT,20.00
2020-04-01,2021-03-31,NZ,ADULT,18.90
2019-04-01,2020-03-31,NZ,ADULT,17.70
2018-04-01,2019-03-31,NZ,ADULT,16.50
2017-04-01,2018-03-31,NZ,ADULT,15.75
2016-04-01,2017-03-31,NZ,ADULT,15.25
2015-04-01,2016-03-31,NZ,ADULT,14.75
2014-04-01,2015-03-31,NZ,ADULT,14.25
2024-04-01,2025-03-31,NZ,STARTING_OUT,18.52
2023-04-01,2024-03-31,NZ,STARTING_OUT,18.16
2022-04-01,2023-03-31,NZ,STARTING_OUT,16.96
2021-04-01,2022-03-31,NZ,STARTING_OUT,16.00
2020-04-01,2021-03-31,NZ,STARTING_OUT,15.12
2019-04-01,2020-03-31,NZ,STARTING_OUT,14.16
2018-04-01,2019-03-31,NZ,STARTING_OUT,13.20
2017-04-01,2018-03-31,NZ,STARTING_OUT,12.60
2016-04-01,2017-03-31,NZ,STARTING_OUT,12.20
2015-04-01,2016-03-31,NZ,STARTING_OUT,11.80
2014-04-01,2015-03-31,NZ,STARTING_OUT,11.40
2024-04-01,2025-03-31,NZ,TRAINING,18.52
2023-04-01,2024-03-31,NZ,TRAINING,18.16
2022-04-01,2023-03-31,NZ,TRAINING,16.96
2021-04-01,2022-03-31,NZ,TRAINING,16.00
2020-04-01,2021-03-31,NZ,TRAINING,15.12
2019-04-01,2020-03-31,NZ,TRAINING,14.16
2018-04-01,2019-03-31,NZ,TRAINING,13.20
2017-04-01,2018-03-31,NZ,TRAINING,12.60
2016-04-01,2017-03-31,NZ,TRAINING,12.20
2015-04-01,2016-03-31,NZ,TRAINING,11.80
2014-04-01,2015-03-31,NZ,TRAINING,11.40
